Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
THOMSON SCREENING SOLUTIONS LTD,"Thomson Screening Solutions develop, deploy and maintain innovative, Cloud-based solutions for managing health screening and data population-wide. 

Brands: SchoolScreener and WorkScreener.

Products included under the SchoolScreener brand are Health Needs, Imms, NCMP, Vision and Hearing.

Also, under WorkScreener branding; COVID-19 Isolation Checker and TestManager, Stress Factor Checker, Vision and Hearing.",marketing@schoolscreener.com,07508164333,Chris Coyne
Thoughtworks Limited,"Thoughtworks is a global technology consultancy that integrates strategy, design and engineering to drive digital innovation. 10,000+ people strong across 48 offices in 17 countries. Over the last 25+ years, we’ve delivered extraordinary impact together with our clients by helping them solve complex business problems with technology as the differentiator.",piers.evans@thoughtworks.com,07392 122626,Piers Evans
THREADFINS CONSULTING LTD,"We specialise in bringing real-world acceleration to large scale digital transformations. We have strong expertise in Software Engineering, Agile frameworks, Continuous Delivery & DevOps, but we recognise that acceleration comes from alignment, principles, strong governance and leadership. We are here to deliver valuable outcomes.",sujith@threadfins.com,07837957391,Sujith Balakrishnan
THREADNEEDLE SOFTWARE LIMITED,"Solidatus is an intuitive and innovative metadata management solution. By building a living blueprint of your organisation’s data, you can develop and tailor systems that can provide you with the knowledge and context for:  

> better quality decision-making 
> robust impact analysis 
> reduced program time, risks and costs",info@solidatus.com,020 4566 6080,Solidatus
Threatscape,,creid@threatscape.com,020 3653 0000,Colin Reid
Thrive CSR Limited,,neilm@thrive-csr.com,07789644049,Neil Macdonald
THRIVE LEARNING LIMITED,"Thrive are privately owned, with a management team that have been in the industry for over 20 years. We deliver exceptional learning solutions to our clients, having built the industry’s most cutting-edge learning platform and digital content whilst offering an outstanding service to all of our clients.",gcloud@thrivelearning.com,07429312007,THRIVE Learning
THRIVE OPERATIONS LIMITED,"Thrive (formally ONI plc) is a leading provider of IT solutions and services to the Public Sector. With our own Tier 3+ Data Centre facility, we offer a unique blend of cloud, on-site and hybrid solutions. Our areas of expertise include; infrastructure, storage, collaboration, networks, data centre and security.",pcotterill@thrivenetworks.com,01582 429999,Phil Cotterill
THRIVE. THE GROWTH CONSULTANCY LTD,"We design, develop, implement & support Digital Transformation solutions for organisations in the public and private sector. We create the digital agenda around the user & customer using human-centred design and technology to speed time-to-value.",chris.canning@thrivetgc.com,07931372649,Chris Canning
Through Technology Limited,"Through Technology is a specialist cloud and infrastructure consultancy.   Our expertise lies not only in technology,   but in the ability to provide clear,  authoritative guidance at all levels and throughout procurement,  delivery and commercial negotiations.

With extensive experience in Public Sector,  we are a trusted partner for your cloud transformation.",enquiries@throughtechnology.uk,+44 (0)7913334794,John Waddington
Thumbtel Ltd,"Thumbtel operates HulloMail, Another Number and has sold its messaging and mobile voice recording technology worldwide. 

Another Number is a second mobile number service that co-exists on an employee’s personal phone allowing for the separation of business and personal communications without the need of a second SIM or contract.",contactus@thumbtel.com,+44748067007,Another Number Subscriptions
Thunderhead ,"We’re a pioneering software company and a recognised technology leader in the customer engagement and journey orchestration market. With our ONE Engagement Hub, it’s now possible for brands to deliver exceptional engagement for every customer across every journey.  We are headquartered in London, with  offices across Europe and North America.",lfraser@thunderhead.com,07790 426469,Lee Fraser
Thymometrics Ltd,"Thymometrics provides cloud-based, employee feedback & engagement solutions. The Employee Thymo provides instant analysis of employees' views in real-time and how these views change over time. The platform is completely customizable and provides anonymous communication, 2-way feedback, pulse surveys, exit surveys and 360 degree peer review.",david@thymometrics.com,01 223 750 251,David Godden
Tiani Spirit Limited,"Tiani Spirit has over 350 years combined software experience specific to public sector, in particular Healthcare, allowing us to provide the most comprehensive Health Information Exchange solution. The SpiritEhr Exchange enables the sharing of citizen information between existing systems across all public sector services, both within and across regional boundaries.",ian.press@tiani-spirit.com,07582929614,Ian Press
TIBUS,"Tibus provide IaaS, PaaS, ScS services from hosting ‘brochure style’ sites through to bespoke platforms,  in Tier 3&4 ISO 27001 data centres. Our data centre facilities are in Dublin, London, Belfast. We provide digital solutions for business and government, from small SMEs through to large government agencies and multi-national corporations.",info@tibus.com,02890331122,Steven Wright
TIC (BRUGGER) LIMITED,"TIC assists blue-chip companies around the globe in their digital transformation, to enhance and automate their real-time customer engagement. Our proprietary software uses the latest technology including Machine Learning, Artificial Intelligence and Natural Language Processing the technology delivers time critical notifications to millions of people across a multitude of platforms.",paul@tic.ie,+353 86 045 0404,Paul Brugger
Ticketsolve,,nstevenson@ticketsolve.com,01865 987 667,Nick Stevenson
Tidey Electrical Ltd,"We can cater for the following works to be carried out by our in house team:-
Data Infrastructure Cabling, Testing & Termination (Cat5e,Cat6,Cat6a & Cat 7 Cabling) 
Fibre Infrastructure Cabling, Testing & Termination (Multimode and single mode).
Electrical Installation & Testing.
Digital Signage Solutions
Audio Visual Installations",chris@tidey.org.uk,07977453219,Chris Tidey
Tier 1 Asset Management Ltd.,"Tier 1 is a secure IT disposal specialist, enabling Cloud migration and IT refresh programmes to occur in an assured manner. Expertise, experience and accredited processes provide a proven disposal solution used by HMG with strong emphasis on data security and IT recycling innovation providing social value and GDPR compliance.",jselby@tier1.com,0161 777 1042,Jon Selby
Tier 2 Consulting Ltd,"Tier 2 Consulting helps organisations design, develop and support bespoke software using modern, open-source cloud-native technologies, and an agile delivery approach.

As the first Red Hat Premier Middleware Partner in the UK,  we are experts in Java and leading development frameworks, Red Hat Middleware, and OpenShift Container Platform.",akennedy@tier2consulting.com,01438 310124,Andy Kennedy
TierOne Technologies Inc.,"TIERONE delivers technology, consulting, application development and maintenance services.

We believe need should be at the centre of your network and systems. Removing barriers between BSS/OSS and CSPs.

Today’s economic reality doesn't  support legacy solutions resource requirements. You must be able to interact with the CSP systems and network directly.",sales@tieroneoss.com,+1 905 677 0158,Sales at TierOne
TIGERSi Technologies Ltd.,"TIGERSi provides specialist Testing and QA services for CRM, ERP and Data Engineering Projects. Our Services include Test Strategy, Test Management, Test Automation, Functional, Data Migration, Integration, API, Performance Testing. Our specialist QA Services cover Technologies like Microsoft Dynamics 365 CRM, ERP, Oracle Fusion Cloud ERP - Financials and SCM.",harshalpadhye@tigers-i.co.uk,02037130043,HARSHAL PADHYE
tillr,"Tillr is a core supplier of process digitalisation solutions, with councils across the country using the platform to modernise their operations. All aspects of a department’s activities can be hosted under one roof meaning no paper, fully automated alerts, enhanced reports and mobile usage are the norm.",gcloud@tillr.io,020 7993 5858,Paul Romer-Ormiston
Time to Spare,,tom@timetospare.com,07411495842,Tom Neill
T-Impact Limited,"T-Impact improve & automate business processes to deliver Digital Transformation; specialising in RPA, Robotics, BPMS & Artificial Intelligence.

If you’re in NHS, central or local government & serious about using technology to improve the lives of your citizens and colleagues, then we’re serious about helping you make that a reality.",publicsector@t-impact.com,01865 818952,Paul Hunt
Tim Rivett Consulting,,tim@timrivett.co.uk,07479 950850,Tim Rivett
Tiny Medical Apps Ltd,"Our mission is to provide low cost, patient focused mobile apps into healthcare to improve outcomes, using open source software and common standards.",Matt@tinymedicalapps.com,02078594169,Matt Bourne
Tisski Limited,"Tisski is a tier 1 Cloud Solutions Provider and Microsoft Gold Partner in Business Applications, CRM, ERP and Data Platform.  Established in 2011, Tisski employs over 100 technical and business experts who work with our clients to transform their frontline and back office functions.",dan.coupland@tisski.com,07535900510,Dan Coupland
Title,,dcorcoran@trcsolutions.ie,0844 5441108,Darren Corcoran
Titus Learning,,sales@tituslearning.com,01133 200 346,Seb Francis
Tivarri Ltd,"Tivarri develops products and services to help businesses take full advantage of the Cloud, whilst maintaining compliance with regulatory bodies such as the FCA, PCI and ISO standards.",gcloud@tivarri.com,01225 428879,Paul Moss
TIVITAL LIMITED,,danny.wootton@tivital.com,07831179295,Danny Wootton
tlmNexus Ltd,"Working closely with customers, supporting teams to work strategically, collaboratively and effectively providing improved, value for money systems and outcomes across the whole business chain.   Our web-based services enable and support you to reduce costs, improve productivity and delivery, streamline your work processes, and share information and knowledge more effectively.",tharris@tlmnexus.com,01273 545960,Tony Harris
TLT LLP,,stuart.murray@tltsolicitors.com,+443330061599,Stuart Murray
TMI Systems,"Verto is a Cloud based Work Collaboration Platform for organisations across the public sector. Verto supports Portfolio Management, Collaborative Project Management, Shared Service and Business Transformation Programmes - https://vertocloud.co.uk/",enquiries@tmi-systems.com,01183346200,Chris Wright
TNP,"TNP stands for The Networking People and our mission statement is in the name. We aim to be your trusted advisor for all networking, network engineering, network consultancy and associated services. We have over 100 years combined experience of network engineering and management in Education and the Public Sector.",tenders@tnp.net.uk,08456800659,Chris Wade
TOBP LTD,"The Open Banking Portal (TOBP) is an Open Banking environment that facilitates cost-effective Public Sector payment facilities, delivering  significant transaction cost savings across all services involving transaction cost-bearing payments.",roy@tobp.io,02079938678,Roy Rodford
Tocalabs Ltd.,"The Tocalabs Enterprise Automation Platform is enabling businesses in their digital transformation, improving operational efficiency and allowing them far greater agility than ever before. Toca provides rapid integration, is hyper scalable and is no-code. Toca’s core server builds workflows, automation scripts, schedules and manages pipelines, controls and maintains bot infrastructure.",carolyn.pinkney@toca.io,44 (0) 20 8050 1502,Carolyn Pinkney
Togetherall Ltd,"Togetherall is a digital mental health and wellbeing service that has been designated a High Impact Innovation by the NHS. Togetherall works across a number of markets including healthcare, military, employers and education currently covering 45% of the UK population, including contracts with the Home Office and MOD.",Yuval.Attias@togetherall.com,+44 (0) 203 405 6196,Yuval Attias
Tongadive Ltd,,services@tongadive.com,07928104968,Anubha Dixit
Tonnik Consulting,"Tonnik Consulting is a specialist cyber security consultancy, which has been providing advice to critical national infrastructure companies for three years.

Our consultants have up to 15 years of experience and have worked in central government, critical national infrastructure and private enterprise.",gcloud@tonnik-consulting.com,01614088088,Tony Williams
TOOLAGEN LIMITED,"Toolagen is Microsoft Silver Applications Development Partner focused on helping customers move to and embrace the cloud. We provide consulting, development, migration and support services for Office 365, SharePoint, Azure applications. 

We are experts at Migration and building user friendly solutions for the cloud.",amar.galla@toolagen.com,07931870343,Amar Galla
tootoot ltd,"tootoot is the award-winning technology company which makes organisations happier and safer places.

tootoot's product called Stribe enables organisations to measure and monitor the engagement and well-being of it's employees.",michael@tootoot.co.uk,07833246020,Michael Brennan
Toplevel,"Toplevel is a wholly owned subsidiary of Equiniti Group Plc.  Toplevel delivers Government-strength software solutions reducing cost, effort and risk of deploying online interactive services and case management.  Government specialists, with proven skills, and over 50 major public sector clients.",frameworks@toplev.com,01453 852700,Alex Cook
Topsec Cloud Solutions,"Topsec are leading providers of cloud-based email security solutions. Our services include email security (anti-spam, anti-virus and content filtering), email continuity, URL sandboxing (phishing and ransomware protection), phishing training, email archiving, secure file-sharing and domain name management.",ggill@topsec.com,+44 (1784) 725903,Ger Gill
Torchbox Ltd,"Torchbox is an independent digital agency for the public and nonprofit sectors. We are the founding developers of Wagtail, the leading open source CMS behind NHS.uk. We design, build and manage services that meet the GDS Digital Service Standard. Our partners include NHS Digital, DHSC, DfT and DIT.",business@torchbox.com,07545468483,Will Heinemann
Torii Technologies Limited,We are specialists in Cyber Security monitoring solutions. Based on highest industry standards we provide a single place to view your entire vulnerabilities that can be used for audit ensuring your chosen solution meets expectations or be used real time to visualize your current cyber security situation across your infrastructure.,graham.caleb@torii.io,07860222288,Graham Caleb
TORO RISK SOLUTIONS - GLOBAL LIMITED,"Toro is a London-based boutique security (cyber, people and physical) risk management consultancy comprising former UK government officers and corporate security experts. We are a supplier to the FCDO. We deliver intelligent, high quality but cost-effective solutions that empower our clients to fully understand and manage their holistic security risks.",peter@torosolutions.co.uk,+44 2081329267,Peter Connolly
Torry Harris Business Solutions ( Europe ) Ltd,Our mission is “to enable purposeful ecosystems through adoption and use of API driven digital opportunities that make a critical difference to your business”. We bring 20-years of integration expertise (Marketplace/API/SOA/Micro-services/Cloud/Digital-Enablement). Our IT consulting & services division with a powerful product-portfolio (API-Management & Marketplace solution) will accelerate Digital Transformation journey.,c_joffey@thbs.com,01454617762,Joffey Chandy
Total Agility Ltd,Total Agility is a small Management Consultancy established to help local government organisations improve their business performance through digital transformation. We have worked with many large public authorities and health trusts as well as FTSE100 and third sector organisations.,goy@totalagility.co.uk,07921106413,Goy Roper
TOTAL COMPUTER NETWORKS LTD,"Total Computer Networks is a dedicated IT supplier and solutions provider to public and private sector organisations.
Cloud computing is forefront and Total is proud to offer private, public, dedicated and hybrid options in order to provide our customers with the very best solution for their requirements",stuart.curson@totalcomputers.co.uk,0845 647 1107,STUART CURSON
Total Enterprise Solutions,"We're a leading Microsoft Dynamics Gold Partner specialised for the NFP and Public Sector. We offer Microsoft Dynamics 365 Business Central, NAV, CRM,  Sales & Marketing, as well as offering a range of third-party products to complement your system coupled with ongoing licensing, implementation services, ITIL support and managed services.",jenny.bethell@totalenterprisesolutions.co.uk,0345 257 1173,Jenny Bethell
Total Intelligence Ltd (G8),"Total Intelligence provides and implements software used for real time Data collection, Data management and Data monitoring over multiple data sources whether structured data (e.g. Databases) and/or unstructured data (e.g. docs, e mails, images), for general management reporting and specifically compliance purposes (i.e. GDPR, Health & Safety etc).",chris.finch@totalintelligence.co.uk,07900675811,Chris Finch
Totally Communications Ltd,,digitalgov@totally.group,020 7284 9730,Toby Mason
TotalMobile,"Totalmobile is a market leader in field service and mobile workforce management technology, helping organisations deliver higher quality services while also reducing costs. With solutions including dynamic scheduling, Job Management, IoT, Analytics, Care at Home and Reablement we provide front line workers with the tools required to deliver exceptional services.",annemarie.steele@totalmobile.co.uk,02890330111,Sales Department
ToukanEyes Ltd,ToukanEyes are a health technology company creating speciality clinical systems.,gulfam@toukanlabs.com,02080578877,Gulfam Yunus
Towers Associates,"Towers Associates are an independent cloud transformation consultancy, focusing on the full end-to-end service, providing a user needs driven approach to service delivery, assisting to develop clear business objectives, deploying a disposition of workloads based on criticality and performance, We drive discovery, map applications/infrastructure dependencies and analyse/migrate workloads.",dfryer@towersassociates.co.uk,+44 7771 802194,Daniel Fryer
Townbase,"Digital publishing platform for councils and local authorities

We offer a cloud based publishing platform to build council and town websites. Launch new websites in a matter of days. 

You can also create tourism, travel & destination websites utilizing our existing partnerships with worlds largest travel & tourism companies.",contactus@townbase.com,+447551737073,M. J. Lintunen
TPG SERVICES LIMITED ,"TPG Services provides targeted through-life support to enable the transformation and evolution of clients' systems and services to meet strategic objectives and business vision. Working in global Defence, Energy and Government programmes, we adopt well-established Systems Engineering and Project Management processes to optimise systems, and their design, delivery and support.",frameworks@tpgroup.uk.com,07710 711 983,Luke Tucker
TPG THE PROJECT GROUP LTD,,peteron@theprojectgroup.com,07754751509,PETER ONEILL
T-Pro,"T-Pro offers a hosted technology and services platform that delivers a portfolio of solutions including digital dictation, speech recognition, transcription services, electronic signing and distribution, reporting, video consultation & more. Clients across Healthcare, Legal, Education and Government sectors use T-Pro to improve staff productivity and generate cost and efficiency savings.",sales@tpro.io,+44 (0)2 0864 1504,Liam Murphy
TPXIMPACT LIMITED,"TPXimpact  Limited is a change agency, on a mission to design public services fit for the 21st century. Using digital tools, design approaches, we support health and public sector organisations through digital transformation and service design, to deliver the highest quality, citizen-centred services that have a lasting impact for all.",bids@tpximpact.com,07528419817,Bid Team
TRACE DATA LTD,"Trace are experts in Privacy by Design and Data compliance. We provide innovative, user-friendly and enabling services and solutions to our clients. Find out more at tracedata.co.uk",info@tracedata.co.uk,08004480518,Customer Success
Trace Solutions Limited,Supplier of service charge management systems.  Our system will also manage rent uplifts and the section 20 process,adam.mackay@tracesolutions.co.uk,020 7825 1064,Adam Mackay
TrackaPhone Ltd,"TrackaPhone supply technology, training, project management and full end to end services for the provision of employee protection and mobile employee management services via mobile apps, devices and thoroughly tested procedures. 
Public sector customers include Scottish Government, DEFRA, almost every police force, housing associations, NHS, charities, local authorities and more.",jonathan.davidson@trackaphone.com,07931150021,Jonathan Davidson
Trackly Analytics Ltd,"Houdini Ltd provide consultancy, advice and upgrade / on-going support for projects and systems based upon Microsoft's Dynamics 365 for Customer Engagement and Microsoft PowerApps.

Houdini also offer a suite of Data Driven Security solutions ensuring individual records within Dynamics 365 Apps are secured independently and all record access audited.",sales@houdini.co.uk,07811449479,Ben Thompson
Trackplan Software,"Facilities, Asset and Maintenance Management Software, CAFM and CMMS Software.  Planned and Reactive Maintenance, building and asset management.  Inspections, checklists and surveys.  Apps for engineers and the facilities team.  QR Codes for assets.  Reports and dashboards. Risk assessments and permits to work. Contractor management and scheduling. See www.trackplanfm.com",mark@trackplanfm.com,+353831342778,mark cochrane
Tractivity Ltd,,mark.rutter@tractivity.co.uk,01629815916,Mark Rutter
Traineasy.com Limited,"Established supplier of digital learning services including LMS-X, a modern learning platform with video gallery and integrated performance management tools. Supplier of high quality bespoke and off-the-shelf content, Lectora and Articulate authoring tools, training and support. Large customer base including a growing number of NHS Trusts, local & central government.",sarah.lambie@traineasy.com,01908 508777,Sarah Lambie
TrainingU IT Limited,,nicola.dolan@trainingu.co.uk,03333446630,Nicola Dolan
TRANS4MTECH LTD,"Trans4mTech helps businesses and agencies accelerate their IT/Application modernisation and digital transformations objectives by offering, installation, deployment and support of cloud/SaaS based applications for integration, enterprise security, IT monitoring, end user computing and workforce transformation.",info@trans4mtech.co.uk,07757546547,Anthony O Uwanogho
Transact Technology Solutions,"TransACT are an AWS Consulting partner with a wealth of Cloud experience and expertise providing a Cloud Management Platform that provides full security, governance and FinOps across Mult-Cloud Platforms.",stuart.whitman@transactts.co.uk,07725  367728,Stuart Whitman
Transcend360 Group,"Transcend360’s powerful, cloud-architected solutions enable organisations to better understand and manage direct and indirect customers data, processes and results. Our mission is to provide technology that empowers people to create experiences that are in legally compliant and context with what they need and want.",billmarjot@transcend-360.com,+447787871174,Bill Marjot
transcend360 Ltd,"transcend360 Ltd provide independent consultancy services specialising in supporting organisations to move their print, fax and imaging requirements to the cloud.  We provide consultancy that supports customers in the definition, acquisition, delivery and management of a cloud based print, fax and imaging services, providing support throughout the full contract lifecycle.",keith.houghton@transcend360.co.uk,7805829816,Keith Houghton
TRANSFORM CX LIMITED,"We fuse service design, start-up thinking and Agile delivery at Scale to open new business avenues, fuel growth and deliver transformation. We are Cloud natives, helping clients to setup and operate in the Cloud-only world, at scale.

Our services range from Strategy & Consulting, Experience Design, Engineering to Enablement.",tarun.sharma@transformcx.co.uk,07972712549,Tarun Sharma
Transforming Healthcare Consultancy Ltd,"Capable and experienced team of delivery focused consultants. Skilled at supporting healthcare organisations in realising improvement and transforming services/systems to improve patient outcomes & increase business efficiency. With many years' experience in healthcare finance, commissioning, IT programme delivery, clinical safety case, computer system validation  and service redesign & turnaround.",info@TransHealthCo.co.uk,01825 890851,Stephen Bell
Transforming Systems Limited,"Transforming Systems was established to solve the challenges associated with how you can capture, transform and then provide, actionable insights from a wide range of data. 
 
The output from the research is our SHREWD platform that allows us to supply a range of modules and services that improve operational working",info@transformingsystems.com,0203 397 6626,Lisa Riley
Transition Technologies Managed Services Ltd.,"TTMS, we focus on the highest quality of service while working with our Clients on the highest quality IT solutions. We specialize in Comprehensive Service Delivery (CSD) which means much more than providing end-to-end IT services. 
http://ttms.uk
http://ttms.pl
http://www.25lat.tt.com.pl/en/",michal.trojanowski@ttms.pl,+48697550385,Michał Trojanowski
Transmit Security Ltd,,minal@transmitsecurity.com,07785774446,Minal Russell
Transparity Solutions Limited,"Transparity are a leading Microsoft Gold and Direct CSP Partner delivering business transformation through public, private and hybrid cloud technologies. Delivering  complex Office 365 migrations enhanced with EM+S and Skype for Business Cloud PBX through to security, governance, authentication and regulatory features of Azure, we deliver leading engineering and support.",gcloud@transparity.co.uk,01202 800000,Tim Hannibal and David Jobbins
TransportAPI,"TransportAPI.com is a managed service provider of public transport data, covering bus/ train/ metro/ ferry across GB. Our Managed services offer APIs for  live/ scheduled departures, multimodal journey planning, route geometry, transport stops/ stations, vehicle occupancy and we archive SIRI data sources with data quality reporting for all datasets.",jonathan.raper@transportapi.com,02032399551,Jonathan Raper
Transputec Limited,"Transputec is an established Information Technology Services and Solutions company with more than 30 years of IT innovation and excellent customer service. Our G-Cloud 9 offering is Crises Control, an emergency notification and incident management SaaS product available on a subscription licence.",sonny@transputec.com,0208 584 1400,Sonny Sehgal
TRANSUNION INTERNATIONAL UK LIMITED,"TransUnion is a global information and insights company providing an accurate and comprehensive picture of each person. Our broad portfolio includes solutions that address fraud, identity, risk management, debt resolution, automated decisioning, customer insight and customer experience. We provide solutions extensively to Central and Local Government, Health, Policing and Education.",mark.pestereff@transunion.com,07773 212093,Mark Pestereff
Trapeze Group UK Ltd,Trapeze solutions include: * Tendered and commercial services * RTPI * Passenger Information * Public and rail * Demand responsive services * Mainstream school * Special Education * Social Care transport * Dial-a-ride / Dial-a-bus * Freight transport * Health * Feeder-to-fixed * Flexible routes * Integrated multi-modal journey planning,tenders@trapezegroup.com,01225 784228,Robert Blenkinsop
Traqplan limited,"Traqplan provides a project delivery services and portfolio management frameworks and tools.  The services are delivered by experts programme management and planning.  The software systems simplify, automate and provides sophisticated visuals to streamline you delivery and reporting processes.",colin@traqplan.com,07825 883 159,Colin Ward
TravelAi Ltd,"TravelAi is a leader in smartphone sensor tech. Generating multi-modal, public, private and active travel movement traces at scale. GDPR compliant, exclusively for transport and with ethical geo in mind. Our mission is to make transport work better for citizens, profitable for incumbents and kinder on the world around us.",zac@travelai.co.uk,07976717909,Andreas Zachariah
TREEX LTD,,sales@realyse.com,02039835958,Sales Team
Trevonix Technologies Limited,"Trevonix takes care of all aspects of Identity & Access Management(IAM) from planning and building to supporting your IAM landscape. With our experience and domain expertise, we offer IAM solutions that improve security, productivity and regulatory compliance.""Where quality is not an act, it is a habit to deliver value-driven solutions""",hemanth@trevonix.com,020 8660 4918,Hemanth Jain
Triad Group Plc,Triad is helping the public sector bring agility to business change initiatives to deliver the services that end users deserve.  We improve the process of solution delivery and transformation to cloud services. We are helping clients become more effective in their use of technology to meet business needs.,gcloud@triad.co.uk,+44 (0) 1908 278450,Adrian Leer
Tria Recruitment,"Specialists in providing expert consultants and project squads across a broad range of technical disciplines. Our architects and developers design and deliver user-centric solutions using modern cloud-based technologies, to GDS Service-Design-standards/Digital by default. Bring expertise in Product & Delivery, UX Design, Web API, Cloud/Cyber Security, DevOps, User Research, Business Analysis.",david@triarecruitment.com,0117 332 7000,David Kirkpatrick
Tribal Education Limited,"We believe that high quality public services enrich people’s lives. We also think that everyone should have a good education, accessible healthcare and the opportunity to fulfil their potential.
That’s why we’re passionate about working in partnership with our clients to ensure people receive the best possible public services.",technology.bids@tribalgroup.com,0330 016 4000,Tribal Bids Team
Tribepad,"Tribepad provides the UK's best talent acquisition suite, including Applicant Tracking System (ATS), CRM, Onboarding, Video Interviewing, Chatbot and Freelance Management Solutions. Our best-of-breed recruitment platform is used by some of the world's best-known companies and public sector organisations. Reaching talent through tech.",marketing@tribepad.com,0114 312 2110,Team Tribepad
Tribun Health,,eloubet@tribvn-hc.com,07484654342,Emmanuel Loubet
Tricerion Ltd,"Replaces typed passwords with an on-screen password keypad unique to each user. Each login session is also unique, and passwords cannot be shared/hacked.

Exceeds GDS Compliance requirements, requires NO Devices, Apps or Third Party software, making this an easy to use and deploy secure password solution,  ideal for mass-citizen deployment.",schehrezade.davidson@tricerion.com,+44 203 0952001,Schehrezade Davidson
TriCIS Ltd,"TriCIS Ltd deliver  secure services in 3 key areas:

1. Secure ICT Infrastructure across all security boundaries including Cloud
2. Secure ICT Server Based Appliances that satisfy TEMPEST and Non-TEMPEST requirements
3. High Quality Professional Services into MOD, Defence, UK Security & NATO",antonysummerfield@tricis.co.uk,07545429051,Antony Summerfield
Tricostar Software Ltd,"Tricostar Software Ltd. has brought innovative technology solutions to the market since 1988. We provide best-of-class solutions and AI for data security and discovery, information protection, cloud management and agentless endpoint protection. In addition, we provide web-based legal solutions for case management, document bundling and time recording.",james.lawler@tricostar.com,0333 220 5081,James Lawler
TRIGYA TECHNOLOGIES PRIVATE LIMITED,,nilesh@cloudmantra.net,+44 7826 918585,Nilesh More
TRILATERAL RESEARCH LTD,"Trilateral Research was founded in 2004. We develop data-driven technologies and cloud solutions and contribute to the latest standards in safeguarding privacy, ethics and human rights within the public and private sector. Our teams collaborate across the technology-social disciplinary divide to deliver sustainable innovation.",Sociotech@trilateralresearch.com,02070528285,Kush Wadhwa
TRILBY MULTIMEDIA LIMITED,"Digital signage made for education.

Get set up in less than 10 minutes, drag and drop your content.

TrilbyTV is built by people who understand and work in education. We keep it simple to add and manage content on your digital signage screens.",sales@trilbytv.co.uk,0121 333 6860,Neil Emery
Trillium Systems,"Trillium is a specialist provider focusing on assisting organisations to maximise their stakeholder engagement using a strategic approach, best-of-breed technology platforms and experience led services. 

Trillium approach projects from an experience perspective, focusing on the user experience, the technical platforms, the integration of systems, and the overall strategic objectives",aperestrello@trillium.net,+442031765380,Alan Perestrello
Trimble UK Ltd,"Trimble’s offerings improve productivity, visibility and data interoperability across the lifecycle of real estate portfolios and their constituent assets.  Our software solutions are implemented as point solutions or together to form an end-to-end solution to managing the ownership, occupancy/room/space booking, asset management & operation of simple to complex portfolios.",zoe_stanton@trimble.com,07464518882,Zoe Stanton
TRIPUND SOLUTIONS LLP,"We are IT services company that can deliver and maintain applications over cloud. We develop and maintain web solutions, mobile apps, custom software. We convert business challenges into opportunities for our clients. We believe experience is the best teacher.",RAVI.VASWANI@GMAIL.COM,+919322972238,Ravi Vaswani
TRL Limited,"TRL  is an internationally recognised centre of excellence providing world class research, consultancy, advice and testing for all aspects of transport.  

We develop powerful software that is based on solid, proven research, yet is easy and practical to use.",skamal@trl.co.uk,01344 379743,Subu Kamal
TROJAN CONSULTANTS LIMITED,"Providers of the Caspar Cloud application, allowing Local Authorities to manage case and financial records of deputyships and appointeeships under their control. Just like the original on-premise application Caspar, Caspar Cloud allows our clients to save considerable time and effort in every aspect of their client administration.",larry.morgan@trojanconsultants.com,01527 882255,Larry Morgan
TROWBEX LIMITED,Trowbex is an IT Cloud Management Service firm focused on delivery and optimisation. Our technology and business experts work closely with our clients to facilitate and guide their project goals.,info@trowbex.com,0203 920 7776,Sales Team
TRSS INTERNATIONAL LIMITED,"TRSS provides risk intelligence and related services to global clients through TRSS International Limited (TRSSI), a London-based wholly-owned subsidiary of Thomson Reuters Special Services LLC.

TRSSI apply proprietary data platforms and advanced open source search methodologies to deliver actionable, data-driven intelligence solutions to meet our clients’ diverse mission needs.",Chad.Longo@trssintl.com,+15702067418,Chad Longo
True Compliance,True Compliance is a cloud based compliance management system which uses new technologies such as document reading and AI to help Councils and RSLs manage their Health and Safety compliance and keep their customers safe,Matt@truecompliance.co.uk,07545 399434,Matt Rawlings
TRUELAYER LIMITED,"TrueLayer offers simple Open Banking APIs, allowing our clients to build applications that securely access data and initiate payments in real time. TrueLayer removes the technical and regulatory complexity of accessing bank data from end-users for uses like instant ID verification and financial management.",sales@truelayer.com,07769261810,Ted Stanley
Trueman Change,"At Trueman Change we help public and third sector organisations to change the way they work and make a difference to their communities. We provide project and change management, run learning events and support organisations to drive change from within.",hello@truemanchange.co.uk,07715001140,Lucy Trueman
Truespin Digital Limited,"UK Software company specialising in the development of websites, Progressive Web Apps and SaaS products.",hello@truespin.co.uk,07807089415,Damian Markland
Truewind UK Limited,"Truewind develops digital transformation processes, increases business efficiency, and minimises time to bring innovation to the market, improving customer experiences across channels. Truewind is OutSystems’ Elite Partner and specializes in the development of solutions using the OutSystems platform.",joao.campos@truewindglobal.com,+44 2038688853,João Campos
TRUSTB LIMITED,"TrustB, working in a high trust way with government and private sector clients, specialise in implementing tailored solutions across the commercial, project management, transformation and technology lifecycles. TrustB has developed an approach that allows rapid solutions to be deployed along with a team of specialists to meet Clients requirements.",mark@TrustB.co.uk,07791792200,Mark MacKenzie
TRUSTCO PLC.,,frameworks@trustco.co.uk,03448801999,Craig Fairs
